玛修·基列莱特 : Shielder
阿尔托莉雅·潘德拉贡 : Saber
阿尔托莉雅·潘德拉贡〔Alter〕 : Saber
阿尔托莉雅·潘德拉贡〔Lily〕 : Saber
尼禄·克劳狄乌斯 : Saber
齐格弗里德 : Saber
盖乌斯·尤里乌斯·凯撒 : Saber
阿提拉 : Saber
吉尔·德·雷〔Saber〕 : Saber
骑士迪昂 : Saber
卫宫 : Archer
吉尔伽美什 : Archer
罗宾汉 : Archer
阿塔兰忒 : Archer
尤瑞艾莉 : Archer
阿拉什 : Archer
库·丘林 : Lancer
伊丽莎白·巴陶里 : Lancer
武藏坊弁庆 : Lancer
库·丘林〔Prototype〕 : Lancer
列奥尼达斯一世 : Lancer
罗穆路斯 : Lancer
美杜莎 : Rider
圣乔治 : Rider
爱德华·蒂奇 : Rider
布狄卡 : Rider
牛若丸 : Rider
亚历山大 : Rider
玛丽·安托瓦内特 : Rider
玛尔达 : Rider
美狄亚 : Caster
吉尔·德·雷 : Caster
汉斯·克里斯蒂安·安徒生 : Caster
威廉·莎士比亚 : Caster
梅菲斯托费勒斯 : Caster
沃尔夫冈·阿马多伊斯·莫扎特 : Caster
诸葛孔明〔艾尔梅洛伊二世〕 : Caster
库·丘林〔Caster〕 : Caster
佐佐木小次郎 : Assassin
咒腕的哈桑 : Assassin
斯忒诺 : Assassin
荆轲 : Assassin
夏尔·亨利·桑松 : Assassin
歌剧魅影 : Assassin
玛塔·哈里 : Assassin
卡米拉 : Assassin
赫拉克勒斯 : Berserker
兰斯洛特 : Berserker
吕布奉先 : Berserker
斯巴达克斯 : Berserker
坂田金时 : Berserker
弗拉德三世 : Berserker
阿斯忒里俄斯 : Berserker
卡里古拉 : Berserker
大流士三世 : Berserker
清姬 : Berserker
血斧埃里克 : Berserker
玉藻猫 : Berserker
贞德 : Ruler
俄里翁 : Archer
伊丽莎白·巴陶里〔万圣节〕 : Caster
玉藻前 : Caster
大卫 : Archer
赫克托耳 : Lancer
弗朗西斯·德雷克 : Rider
安妮·伯妮&玛丽·里德 : Rider
美狄亚〔Lily〕 : Caster
冲田总司 : Saber
织田信长 : Archer
斯卡哈 : Lancer
迪尔姆德·奥迪纳 : Lancer
弗格斯·马克·罗伊 : Saber
阿尔托莉雅·潘德拉贡〔Santa Alter〕 : Rider
童谣 : Caster
开膛手杰克 : Assassin
莫德雷德 : Saber
尼古拉·特斯拉 : Archer
阿尔托莉雅·潘德拉贡〔Lancer Alter〕 : Lancer
冯·霍恩海姆·帕拉塞尔苏斯 : Caster
查尔斯·巴贝奇 : Caster
亨利·杰基尔&海德 : Assassin
弗兰肯斯坦 : Berserker
所罗门 :
阿周那 : Archer
迦尔纳 : Lancer
谜之女主角X : Assassin
芬恩·麦克库尔 : Lancer
布伦希尔德 : Lancer
贝奥武夫 : Berserker
尼禄·克劳狄乌斯〔花嫁〕 : Saber
两仪式〔Saber〕 : Saber
两仪式〔Assassin〕 : Assassin
天草四郎 : Ruler
阿斯托尔福 : Rider
幼吉尔 : Archer
岩窟王 爱德蒙·唐泰斯 : Avenger
南丁格尔 : Berserker
库·丘林〔Alter〕 : Berserker
女王梅芙 : Rider
海伦娜·布拉瓦茨基 : Caster
罗摩 : Saber
神枪 李书文 : Lancer
托马斯·爱迪生 : Caster
杰罗尼莫 : Caster
比利小子 : Archer
贞德〔Alter〕 : Avenger
安哥拉曼纽 : Avenger
伊斯坎达尔 : Rider
卫宫〔Assassin〕 : Assassin
百貌的哈桑 : Assassin
爱丽斯菲尔〔天之衣〕 : Caster
酒吞童子 : Assassin
玄奘三蔵 : Caster
源赖光 : Berserker
坂田金时〔Rider〕 : Rider
茨木童子 : Berserker
风魔小太郎 : Assassin
奥兹曼迪亚斯 : Rider
阿尔托莉雅·潘德拉贡〔Lancer〕 : Lancer
尼托克丽丝 : Caster
兰斯洛特〔Saber〕 : Saber
特里斯坦 : Archer
高文 : Saber
静谧的哈桑 : Assassin
俵藤太 : Archer
贝狄威尔 : Saber
莱昂纳多·达·芬奇 : Caster
玉藻前〔Lancer〕 : Lancer
阿尔托莉雅·潘德拉贡〔Archer〕 : Archer
玛丽·安托瓦内特〔Caster〕 : Caster
安妮·伯妮&玛丽·里德〔Archer〕 : Archer
莫德雷德〔Rider〕 : Rider
斯卡哈〔Assassin〕 : Assassin
清姬〔Lancer〕 : Lancer
玛尔达〔Ruler〕 : Ruler
伊莉雅斯菲尔·冯·爱因兹贝伦 : Caster
克洛伊·冯·爱因兹贝伦 : Archer
伊丽莎白·巴陶里〔勇者〕 : Saber
克利奥帕特拉 : Assassin
弗拉德三世〔EXTRA〕 : Lancer
贞德·Alter·Santa·Lily : Lancer
伊修塔尔 : Archer
恩奇都 : Lancer
魁札尔·科亚特尔 : Rider
吉尔伽美什〔Caster〕 : Caster
美杜莎〔Lancer〕 : Lancer
戈尔贡 : Avenger
豹人 : Lancer
提亚马特 :
梅林 : Caster
魔神王 盖提亚 :
所罗门 :
宫本武藏 : Saber
“山之翁” : Assassin
谜之女主角X〔Alter〕 : Berserker
詹姆斯·莫里亚蒂 : Archer
